"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ACTR2__1236",0.369750943668038,27.2491358931883,5.3046981145653,6.26655393694521e-05,0.000793520608992249,1.39096756165224
"ARHGAP1__1394",0.505826482529599,25.6502815076178,5.29443718065361,6.39846816695171e-05,0.000805541252463631,1.36980399713845
"ACTR3__1235",0.398041018227126,27.7811753635114,5.28412035700001,6.53398348814373e-05,0.000815068871364114,1.34851393306517
"DHFR__640",-1.92374745560888,24.0529101452461,-5.28299129730611,6.54899230894031e-05,0.000815068871364114,1.34618329514283
"HAT1__465",-0.574921987756991,25.2014214535654,-5.27651796210676,6.63573100676691e-05,0.000821171712087406,1.3328182608938
"GSTK1__2120",0.627807405360336,25.8810633817453,5.27304336483712,6.68277504994638e-05,0.000822321133264588,1.32564269322138
"LDHB__696",-0.455890987854687,30.1622734767076,-5.25985375128922,6.86450047140412e-05,0.000839937192512257,1.29839265494681
"ALDOA__655",0.368718195158415,29.6326594546158,5.24795181658638,7.03284654137944e-05,0.000855728478610302,1.2737874373642
"FABP5__1357",0.469613213090984,27.2867149240516,5.23723424663755,7.1880731663771e-05,0.000869756853131629,1.25161813523168
"GBE1__1375",1.26379192572047,24.1127449286467,5.22538616611125,7.36377955586451e-05,0.000881610608065687,1.22709659717761
"GNS__812",1.33585777024974,25.0243047460424,5.22517212584144,7.36699406188958e-05,0.000881610608065687,1.22665347334313
