protein,pvalue,log2FC,adj_pvalue
EIF4B,0.14186286150772845,-0.15848625582392017,0.31750126110854454
CALD1,0.8191285301511216,0.07030591764600302,0.9049752183880553
NACA,1.6169960593600751e-06,-0.3404759906252721,0.00032016521975329485
AGK,0.2541731270327152,-0.11068566910035216,0.45638010773062965
MYO1B,0.1327902406373813,-0.45511676656947486,0.30503930740662055
NUP155,0.7715137199259122,-0.046594219972732276,0.8756419395511396
TBL2,0.028958213932738616,0.4150897874838648,0.12105756227544089
PCBP3,0.6949601418609127,0.33632680593799336,0.8266647673255423
MAP1A,0.0005072337614519769,0.7768641409424184,0.009952748940922575
TSN,0.2922255008913489,-0.3825727513118551,0.4972327205205471
